Z,h,K,T,persistence,biomass,stability,diversity
1.0,1.0,3.5938136638046276,288.15,0.45,"[3.593813662797592, 3.5938134302759988, 3.5938136598300976, 3.593813642885454, 2.857987882749203e-6, 3.593813647027448, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.593796987247403, 0.0, 0.0, 5.812904556666874e-6, 3.593793374698512, 0.0, 0.0]",-0.02403399000932466,0.8856241590235393
1.0,1.0,3.5938136638046276,293.15,0.35,"[3.5938136577605655, 3.5938121479717977, 3.59381363781304, 3.5938135377835367, 0.0, 3.5938135613596796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5937063572649524, 0.0, 0.0, 0.0, 3.593682612807124, 0.0, 0.0]",-2.8511020562772745e-6,0.9999999999366898
1.0,1.0,3.5938136638046276,298.15,0.35,"[3.5938136449796896, 3.5938084664331935, 3.5938135745488347, 3.5938132697324323, 0.0, 3.593813338986018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.592586859240974, 0.0, 0.0, 0.0, 3.591426027944046, 0.0, 0.0]",-8.246206879585867e-5,0.999999979872636
1.0,1.0,3.5938136638046276,303.15,0.35,"[3.593813663140024, 3.5938135377847917, 3.5938136616558403, 3.593813649809084, 0.0, 3.593813652106582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.593772731576724, 0.0, 0.0, 0.0, 3.592892852721378, 0.0, 0.0]",-8.953394357558714e-5,0.9999999867714966
1.0,1.0,5.99484250318941,283.15,0.5,"[5.99474389256053, 5.973929536868202, 5.994487291895636, 5.992829882556979, 0.00025978952474166854, 5.993249120823118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.808651808308651, 0.0, 0.0, 0.0005415537641987765, 4.612318345697819, 5.69752602289416e-6, 0.0]",-0.02761946717807834,0.8427544102808552
1.0,1.0,5.99484250318941,288.15,0.45,"[5.9948425014571605, 5.99484210682997, 5.994842496453462, 5.994842467721911, 2.1728296291925526e-6, 5.9948424747413345, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.994814369480225, 0.0, 0.0, 4.411763816113845e-6, 5.994808235765045, 0.0, 0.0]",-0.02615087053444096,0.8856229706984223
1.0,1.0,5.99484250318941,293.15,0.35,"[5.994842445691009, 5.994828238657699, 5.99484225997193, 5.994841321365327, 0.0, 5.994841542420428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.993709662188087, 0.0, 0.0, 0.0, 5.993425820965043, 0.0, 0.0]",-0.00011186756044380282,0.99999998958146
1.0,1.0,5.99484250318941,298.15,0.35,"[5.994842488269564, 5.9948384086008755, 5.9948424337368476, 5.9948421951010085, 0.0, 5.9948422492696825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.993593955873534, 0.0, 0.0, 0.0, 5.991922533897156, 0.0, 0.0]",-6.227660026368138e-5,0.9999999892041653
1.0,1.0,5.99484250318941,303.15,0.35,"[5.994842502581387, 5.99484238835929, 5.994842501261853, 5.99484249055051, 0.0, 5.994842492627835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.994804509022568, 0.0, 0.0, 0.0, 5.993820859498497, 0.0, 0.0]",-0.00011024827759682314,0.9999999818323205
1.0,1.0,10.0,283.15,0.5,"[9.999724073917614, 9.942079623433148, 9.999014025498818, 9.994417001084157, 0.00025999107022546596, 9.995579485382313, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.089973454432664, 0.0, 0.0, 0.0005415931145343288, 6.672500481174518, 5.697650064424885e-6, 0.0]",-0.03035010579390367,0.839578951435339
1.0,1.0,10.0,288.15,0.45,"[9.999999992743884, 9.99999834958887, 9.999999972032297, 9.999999852687104, 2.789539917511874e-6, 9.99999988183809, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.999882014196098, 0.0, 0.0, 5.658072040888386e-6, 9.999856262761345, 0.0, 0.0]",-0.02616845571141779,0.885622732027046
1.0,1.0,10.0,293.15,0.35,"[9.999999898480858, 9.999974983244812, 9.999999574791746, 9.999997931406739, 0.0, 9.999998318265318, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.998142215049963, 0.0, 0.0, 0.0, 9.997702772436552, 0.0, 0.0]",-2.310911770188049e-5,0.9999999973723804
