Z,h,K,T,persistence,biomass,stability
1.0,1.0,3.5938136638046276,283.15,0.25,"[3.5938136638046307, 0.0, 0.0, 0.11903070873058258, 0.0, 0.12034532783022615, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03831985959609895, 0.0, 0.0, 0.0, 0.08085619155147611, 0.0, 0.0, 0.0]",-0.0013046710722472853
1.0,1.0,3.5938136638046276,288.15,0.25,"[3.5938136638046307, 0.0, 0.0, 0.17963513185845806, 0.0, 0.17964310793292687, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05271373768745914, 0.0, 0.0, 0.0, 0.12770225177280428, 0.0, 0.0, 0.0]",-0.0021804785840027754
1.0,1.0,3.5938136638046276,293.15,0.25,"[3.5938136638046307, 0.0, 0.0, 0.26094738917825666, 0.0, 0.26094738919046057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07153162738601972, 0.0, 0.0, 0.0, 0.19068778687190402, 0.0, 0.0, 0.0]",-0.002992978227354271
1.0,1.0,3.5938136638046276,298.15,0.3,"[3.5938136638046307, 0.0, 0.26017519551181933, 0.260175195511825, 0.0, 0.260175195511825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09831630435680455, 0.0, 0.0, 0.0, 0.2908533789820199, 0.0, 0.0, 0.0]",-0.003662420498011609
1.0,1.0,3.5938136638046276,303.15,0.35,"[3.5938136638046307, 0.28333484180105, 0.28333484180105, 0.28333484180105, 0.0, 0.28333484180105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13319447772283036, 0.0, 0.0, 0.0, 0.42811700355526017, 0.0, 0.0, 0.0]",-0.0033256766492805226
1.0,1.0,5.99484250318941,283.15,0.25,"[5.994842503189416, 0.0, 0.0, 0.1206910937394538, 0.0, 0.12506791683737253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03972070011529573, 0.0, 0.0, 0.0, 0.08400031817245619, 0.0, 0.0, 0.0]",-0.0013443646728728547
1.0,1.0,5.99484250318941,288.15,0.25,"[5.994842503189416, 0.0, 0.0, 0.18707644282733138, 0.0, 0.18728335927624015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05476059639287979, 0.0, 0.0, 0.0, 0.13365312056564452, 0.0, 0.0, 0.0]",-0.0021691404213814306
1.0,1.0,5.99484250318941,293.15,0.25,"[5.994842503189416, 0.0, 0.0, 0.2762237727272307, 0.0, 0.27622381942485963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07324161666835095, 0.0, 0.0, 0.0, 0.20187639533851479, 0.0, 0.0, 0.0]",-0.0035310096607199756
1.0,1.0,5.99484250318941,298.15,0.3,"[5.994842503189416, 0.0, 0.27325957803607576, 0.27325958535988126, 0.0, 0.27325958535993966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10129582240320541, 0.0, 0.0, 0.0, 0.307592423805587, 0.0, 0.0, 0.0]",-0.0037743456859674874
1.0,1.0,5.99484250318941,303.15,0.3,"[5.994842503189416, 0.0, 0.3872564607706245, 0.3872564607706245, 0.0, 0.3872564607706245, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13564862835090022, 0.0, 0.0, 0.0, 0.44084108989172904, 0.0, 0.0, 0.0]",-0.0036331016663219283
1.0,1.0,10.0,283.15,0.25,"[10.0, 0.0, 0.0, 0.12064265087104883, 0.0, 0.12995513283893467, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.039085915776936396, 0.0, 0.0, 0.0, 0.08557600095235895, 0.0, 0.0, 0.0]",-0.0013354409947389247
1.0,1.0,10.0,288.15,0.25,"[10.0, 0.0, 0.0, 0.19046649141887526, 0.0, 0.19210597506724797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.055291971822253615, 0.0, 0.0, 0.0, 0.1377262923193577, 0.0, 0.0, 0.0]",-0.0022089478055703172
1.0,1.0,10.0,293.15,0.25,"[10.0, 0.0, 0.0, 0.2842466022292904, 0.0, 0.28425662006425556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07473102048564077, 0.0, 0.0, 0.0, 0.21041127756833566, 0.0, 0.0, 0.0]",-0.0036734709658455787
