h,K,network,diversity,stability,biomass
1.25,0.7742636826811271,1.0,0.7943466226045701,-0.0074522168147541775,3.034827231380934
1.25,1.2915496650148839,1.0,0.7647423021029333,-0.009119930287911365,4.122676467380669
1.25,2.154434690031884,1.0,0.7083349380751146,-0.010080982773821726,5.5888382694507595
1.25,3.5938136638046276,1.0,0.63891866941828,-0.008883649850665611,8.07624724371852
1.25,5.99484250318941,1.0,0.5744203912807695,-0.006028669222880103,12.939655675648625
1.25,10.0,1.0,0.5083318204558365,-0.003960424077038028,21.338560818349997
2.0,0.1,1.0,0.9999999643470256,-0.00016943108825459387,0.4999975147124019
2.0,0.16681005372000587,1.0,0.9999999646505987,-0.00016870650743800873,0.8340460898050167
2.0,0.2782559402207124,1.0,0.9125943792059187,-0.00012003829612196067,1.3888636989047598
2.0,0.4641588833612779,1.0,0.8739146290049802,-0.0001398171988409357,2.2392701988937658
2.0,0.7742636826811271,1.0,0.8699793716351871,-6.456714279676658e-5,3.2286797170536357
2.0,1.2915496650148839,1.0,0.8513838425666493,-6.444282824088434e-5,4.27872978697695
2.0,2.154434690031884,1.0,0.7926759474544729,-6.45016078780569e-5,5.572391417517927
2.0,3.5938136638046276,1.0,0.7073512773817834,-6.47266554074326e-5,7.368192372758682
2.0,5.99484250318941,1.0,0.557324181530853,-0.000623155689305266,10.063655969306838
2.0,10.0,1.0,0.45091264128151887,-0.0005267111739845402,14.3061905392889
1.0,0.1,2.0,0.9999999720412718,-0.00014158247586305714,0.5999972261630114
1.0,0.16681005372000587,2.0,0.9338385904084467,-9.376569711174961e-5,1.0243486052953252
1.0,0.2782559402207124,2.0,0.913355893334385,-9.671228779143263e-5,1.546719679119774
1.0,0.4641588833612779,2.0,0.940645694049092,-0.00010683266660204038,2.2498576712267617
1.0,0.7742636826811271,2.0,0.8583595065346933,-0.000137540550905379,2.7644514250288235
1.0,1.2915496650148839,2.0,0.8760648143504074,-0.0035196713773289093,3.647645626200435
1.0,2.154434690031884,2.0,0.7149847201704482,-0.9722744507519954,5.1376984644005255
1.0,3.5938136638046276,2.0,0.6135629420670928,-1.3123804692164895,7.099930238270212
1.0,5.99484250318941,2.0,0.9989311595722762,-0.0027331460269116865,2.6260811587505106
1.0,10.0,2.0,0.9999756067840332,-0.004872836614985983,2.861648540777764
1.1,0.1,2.0,0.9471523818018192,-9.425019350390311e-5,0.706527068833647
1.1,0.16681005372000587,2.0,0.903360954437777,-0.037148207702594686,1.1614071423363783
1.1,0.2782559402207124,2.0,0.9305935506062256,-7.749532104735476e-5,1.6689723138480803
1.1,0.4641588833612779,2.0,0.8581603335108023,-0.0001582769726719026,2.4771650687782194
1.1,0.7742636826811271,2.0,0.8335917574090742,-0.0012722888057627396,3.1953143313837926
1.1,1.2915496650148839,2.0,0.7950467912977759,-0.0022066270087851107,3.859900943434081
1.1,2.154434690031884,2.0,0.7897536428067261,-0.006664949625819814,4.570760919772978
1.1,3.5938136638046276,2.0,0.7191251955905541,-0.7451053873287247,5.6969718566196645
1.1,5.99484250318941,2.0,0.6535082269508753,-1.2349460312319716,7.0186814445875045
1.1,10.0,2.0,0.5559549086551511,-1.599806243767606,9.54333294310305
1.25,0.1,2.0,0.9999999772799709,-0.00012141707545723292,0.6999971777393555
1.25,0.16681005372000587,2.0,0.8921334098829892,-0.018387538969904957,1.172403261651963
1.25,0.2782559402207124,2.0,0.9024987158928076,-7.010908894119973e-5,1.7666588463484418
1.25,0.4641588833612779,2.0,0.8583595029438056,-0.00031245267374820594,2.468971757673493
1.25,0.7742636826811271,2.0,0.8588772554627278,-0.0007629878996729893,3.3045467244907782
1.25,1.2915496650148839,2.0,0.8403178761008454,-0.0011413603587841748,4.017846837274695
1.25,2.154434690031884,2.0,0.8241986489968931,-0.0016395613773349006,4.5879731542710145
1.25,3.5938136638046276,2.0,0.8122952742227015,-0.002557001397909388,5.015829508553973
1.25,5.99484250318941,2.0,0.8041404402864721,-0.004648536651350797,5.318094262610263
1.25,10.0,2.0,0.7987903829633023,-0.011743507281756148,5.521122474137795
2.0,0.1,2.0,0.9999999773600999,-0.00012120978609863867,0.6999973357439994
2.0,0.16681005372000587,2.0,0.9999999774673097,-0.00012091698695229958,1.1676657419790428
2.0,0.2782559402207124,2.0,0.9259517132511432,-0.0071116972617627115,1.9776149304154784
2.0,0.4641588833612779,2.0,0.9088758323584407,-0.006809909707904519,2.8943849443961627
2.0,0.7742636826811271,2.0,0.9458468816377091,-0.00010363443510387962,3.776847848606057
2.0,1.2915496650148839,2.0,0.9204382524942825,-0.00010410289887302419,4.422317273195409
2.0,2.154434690031884,2.0,0.9159358946391702,-8.73417810836973e-5,4.873279747987317
2.0,3.5938136638046276,2.0,0.8937147570717534,-0.014313644454111152,5.174636072083631
2.0,5.99484250318941,2.0,0.8912896587210718,-0.0007631473349080958,5.369670912762305
2.0,10.0,2.0,0.8899879382308375,-0.00042240098832579704,5.4929014115163515
1.0,0.1,3.0,0.9501122292738611,-0.003371862427892665,0.902663964189952
1.0,0.16681005372000587,3.0,0.9159260475896456,-0.0026728710389218365,1.443353656692904
1.0,0.2782559402207124,3.0,0.9276811006402867,-0.0001065384437449899,2.118121731781972
1.0,0.4641588833612779,3.0,0.8863780515591676,-0.0017931861339811968,2.6031772839461587
1.0,0.7742636826811271,3.0,0.8959930729590361,-0.00846595935233917,2.960055247418656
1.0,1.2915496650148839,3.0,0.8400781358071405,-0.5932083831027939,3.299656501504838
1.0,2.154434690031884,3.0,0.7196850158917312,-0.9169467446760745,3.6221263431599713
1.0,3.5938136638046276,3.0,0.8448293125250597,-0.007267405837709043,2.1245500235442587
1.0,5.99484250318941,3.0,0.8393211056268405,-0.01480895862310622,2.182330048754936
1.0,10.0,3.0,0.8357793583716301,-0.04853523907085064,2.2202899162160525
1.1,0.1,3.0,0.9430784050751286,-0.0034463727537237428,0.9130563434957075
1.1,0.16681005372000587,3.0,0.9266877433826295,-5.637694379752564e-5,1.4558051204262619
1.1,0.2782559402207124,3.0,0.8625975074545008,-0.00557839534857183,2.2381960197513937
1.1,0.4641588833612779,3.0,0.8660093976886322,-0.0006189204393491602,2.8387774977969507
1.1,0.7742636826811271,3.0,0.8523578961957916,-0.0010714898335047907,3.274247750322805
1.1,1.2915496650148839,3.0,0.8422631290335053,-0.0025305603003065525,3.5815399009751925
1.1,2.154434690031884,3.0,0.8355012748866285,-0.020761786116453105,3.791749187921963
1.1,3.5938136638046276,3.0,0.8201903744955835,-0.23653033279210922,4.010109762942365
1.1,5.99484250318941,3.0,0.7661036159992127,-0.7767104851239925,4.292563324832521
1.1,10.0,3.0,0.7480357430982106,-0.7892827989476501,4.619344195319123
1.25,0.1,3.0,0.9999999838960065,-9.407926151381786e-5,0.8999974590880538
1.25,0.16681005372000587,3.0,0.9544082603534885,-6.503580541209451e-5,1.4957075500797454
